Кол-во читемых строк: 11614694
--------------------------------------------------------------
ip-адрес: 95.108.213.186, Кол-во вхождений: 1
ip-адрес: 5.255.253.65, Кол-во вхождений: 1
ip-адрес: 167.248.133.191, Кол-во вхождений: 4
ip-адрес: 162.142.125.11, Кол-во вхождений: 4
ip-адрес: 178.176.70.70, Кол-во вхождений: 2
ip-адрес: 167.248.133.37, Кол-во вхождений: 8
ip-адрес: 176.124.215.22, Кол-во вхождений: 5
ip-адрес: 87.236.176.88, Кол-во вхождений: 1
ip-адрес: 146.59.33.41, Кол-во вхождений: 3
ip-адрес: 91.240.118.248, Кол-во вхождений: 4
ip-адрес: 213.108.196.20, Кол-во вхождений: 48
ip-адрес: 87.236.176.62, Кол-во вхождений: 1
ip-адрес: 167.248.133.184, Кол-во вхождений: 4
ip-адрес: 5.45.207.185, Кол-во вхождений: 1
ip-адрес: 181.177.89.232, Кол-во вхождений: 3
ip-адрес: 87.250.224.217, Кол-во вхождений: 1
ip-адрес: 162.142.125.226, Кол-во вхождений: 8
ip-адрес: 185.108.197.41, Кол-во вхождений: 704325
ip-адрес: 95.108.213.197, Кол-во вхождений: 1
ip-адрес: 31.134.244.166, Кол-во вхождений: 30
ip-адрес: 31.134.244.22, Кол-во вхождений: 1
ip-адрес: 87.236.176.116, Кол-во вхождений: 1
ip-адрес: 87.236.176.52, Кол-во вхождений: 1
ip-адрес: 87.236.176.129, Кол-во вхождений: 1
ip-адрес: 87.236.176.203, Кол-во вхождений: 1
ip-адрес: 213.180.203.32, Кол-во вхождений: 1
ip-адрес: 95.189.76.175, Кол-во вхождений: 4372571
ip-адрес: 87.236.176.249, Кол-во вхождений: 1
ip-адрес: 31.134.244.45, Кол-во вхождений: 1
ip-адрес: 167.248.133.124, Кол-во вхождений: 7
ip-адрес: 87.236.176.78, Кол-во вхождений: 1
ip-адрес: 162.142.125.217, Кол-во вхождений: 7
ip-адрес: 37.21.39.105, Кол-во вхождений: 50305
ip-адрес: 45.9.148.96, Кол-во вхождений: 22
ip-адрес: 5.255.253.69, Кол-во вхождений: 1
ip-адрес: 87.245.197.135, Кол-во вхождений: 1
ip-адрес: 162.142.125.14, Кол-во вхождений: 4
ip-адрес: 188.75.219.78, Кол-во вхождений: 1301
ip-адрес: 62.233.50.179, Кол-во вхождений: 4
ip-адрес: 213.180.203.253, Кол-во вхождений: 1
ip-адрес: 167.248.133.190, Кол-во вхождений: 4
ip-адрес: 176.209.57.94, Кол-во вхождений: 1
ip-адрес: 95.108.213.206, Кол-во вхождений: 1
ip-адрес: 167.248.133.189, Кол-во вхождений: 4
ip-адрес: 91.234.96.164, Кол-во вхождений: 4
ip-адрес: 167.94.138.124, Кол-во вхождений: 4
ip-адрес: 167.248.133.36, Кол-во вхождений: 4
ip-адрес: 167.94.138.52, Кол-во вхождений: 4
ip-адрес: 213.87.147.198, Кол-во вхождений: 3
ip-адрес: 95.189.74.6, Кол-во вхождений: 472648
ip-адрес: 35.237.4.214, Кол-во вхождений: 1
ip-адрес: 87.236.176.106, Кол-во вхождений: 1
ip-адрес: 95.108.213.187, Кол-во вхождений: 1
--------------------------------------------------------------
login: 321, Кол-во вхождений: 2
login: fcb80b1d, Кол-во вхождений: 2
login: asdasdasd, Кол-во вхождений: 1
login: 231, Кол-во вхождений: 1
login: 2342, Кол-во вхождений: 1
login: 1, Кол-во вхождений: 290
login: login, Кол-во вхождений: 759229
login: 9fa261fc, Кол-во вхождений: 5203349
login: asdasd, Кол-во вхождений: 50174
login: kjhkj, Кол-во вхождений: 1
login: , Кол-во вхождений: 242
login: s, Кол-во вхождений: 1
login: 12, Кол-во вхождений: 2
login: loginasd, Кол-во вхождений: 1
login: 4312, Кол-во вхождений: 1
login: 345, Кол-во вхождений: 1
login: akjhsdkajshdakd, Кол-во вхождений: 1
